station,date,angle,angle_1,angle_2,str,fromto,dist
593160-99999,2003-9-23,34.8612748346,344.904752325,18.0360532338,10,False,28.3105796913
593160-99999,2003-9-23,80.3508257955,55.8883977127,105.48716287,7,False,28.569179386
593160-99999,2003-9-23,52.7597758167,338.020832017,343.437814977,5,False,29.8819053324
593160-99999,2003-9-28,351.006241792,333.104167659,18.0360532338,15,False,26.8312949911
593160-99999,2003-9-28,76.8561182737,55.8883977127,105.48716287,5,False,32.1679050902
593160-99999,2003-10-3,353.501183657,333.104167659,18.0360532338,12,False,23.2567691794
593160-99999,2003-10-8,354.425060234,333.104167659,29.0789064458,8,False,20.7871325131
593160-99999,2003-10-18,102.188716728,84.0805581265,119.104390557,4,True,13.8405183136
593160-99999,2003-10-18,319.703055281,291.311760596,341.082585817,5,False,10.5820618648
593160-99999,2003-11-2,64.9370280645,50.2854817994,89.7811844647,4,True,45.1504978724
593160-99999,2003-11-2,26.9105479725,353.034231481,49.9692558797,4,False,44.2527992298
593160-99999,2003-11-22,77.3950800004,349.209713455,30.4023800085,5,False,28.7848509901
539590-99999,2003-1-31,67.0133553213,55.2179752634,87.9999798821,4,False,33.8944027438
539590-99999,2003-2-25,156.157998673,137.263219401,174.812313742,4,True,18.3270913729
539590-99999,2003-3-2,81.5343038523,76.5782442198,90.1069550817,4,True,20.4615442559
539590-99999,2003-3-22,63.0797153195,4.11641351839,107.832843583,9,False,26.0182475809
539590-99999,2003-3-27,59.1522302193,4.11641351839,101.172348004,11,False,30.4253959995
539590-99999,2003-4-1,45.1380839226,4.11641351839,70.1392797536,7,False,19.0145701104
539590-99999,2003-4-6,43.6946486328,342.205848004,70.1392797536,11,False,24.3756830647
539590-99999,2003-4-11,62.402216038,57.2236721616,70.1392797536,5,False,27.7056117461
539590-99999,2003-4-16,78.1959428332,70.1392797536,90.1069550817,4,False,33.025809299
539590-99999,2003-4-26,316.12165761,287.971070421,346.984689606,6,True,15.6810184239
539590-99999,2003-5-1,66.8000667635,59.8126621353,73.0925856533,5,False,26.3047742162
539590-99999,2003-5-6,65.2269370411,59.8126621353,70.1392797536,4,False,22.9619854563
539590-99999,2003-5-16,323.774147524,289.821973126,358.435616867,4,True,19.75606921
539590-99999,2003-7-15,198.196147406,186.142713961,211.919021188,4,True,24.0343522895
539590-99999,2003-7-20,198.054915623,186.142713961,211.919021188,6,True,21.8107513932
539590-99999,2003-8-19,70.9732214392,63.9067119379,79.8198419917,4,False,27.4858359541
539590-99999,2003-9-8,147.719266447,90.1069550817,191.589786064,8,True,19.1854901176
539590-99999,2003-9-13,166.773926954,137.263219401,191.589786064,6,True,17.0202512327
539590-99999,2003-10-18,200.665289764,179.441970976,227.558232314,5,True,21.672960818
539590-99999,2003-10-18,54.8771749998,40.6160778765,63.9067119379,4,False,36.8354572837
539590-99999,2003-10-23,47.1910776068,16.4466880346,63.9067119379,5,False,32.1587275588
590070-99999,2003-1-11,11.2676296603,345.31720817,31.1029570721,8,False,32.0696483668
590070-99999,2003-1-16,101.311306937,349.825506512,32.9631210282,4,False,27.5120530672
590070-99999,2003-1-26,99.5768425115,349.825506512,26.0252633264,4,False,29.0381947506
590070-99999,2003-1-26,58.311004792,50.7053668853,77.6801059161,4,False,47.7626229933
590070-99999,2003-1-26,328.418956723,321.947319303,343.737428585,4,False,38.404777387
590070-99999,2003-1-31,10.2287505515,319.172486627,26.0252633264,13,False,38.5435427547
590070-99999,2003-1-31,58.311004792,50.7053668853,77.6801059161,4,False,47.7626229933
590070-99999,2003-2-5,41.0184575545,319.172486627,349.825506512,5,False,46.7678448861
590070-99999,2003-2-15,29.8490919316,4.94272176085,52.8161237734,4,False,32.6037319395
590070-99999,2003-2-20,40.2506541642,24.5180049699,52.8161237734,4,False,44.2744684206
590070-99999,2003-3-22,309.298163183,299.955733696,321.947319303,6,True,31.6795306372
590070-99999,2003-3-27,304.387205674,299.955733696,312.034900491,4,True,28.9696505504
590070-99999,2003-4-11,325.656682119,243.535689475,302.3275606,7,True,20.9108334843
590070-99999,2003-4-16,271.895492071,253.511734813,286.692647581,5,True,24.9267657992
590070-99999,2003-5-16,12.694266425,357.892202733,24.5180049699,4,False,28.5626183187
590070-99999,2003-6-5,301.313818192,277.108057517,331.181421296,4,False,36.665851424
590070-99999,2003-8-24,324.790863023,316.292837098,343.737428585,5,False,23.0926167156
590070-99999,2003-8-29,326.516945207,316.292837098,343.737428585,5,False,31.2471393334
590070-99999,2003-9-8,28.1459952133,294.638233356,4.94272176085,6,False,22.5983463654
590070-99999,2003-9-13,326.623990189,316.323498841,339.54834384,5,True,29.8531969662
590070-99999,2003-9-18,357.314735724,339.54834384,14.9806781553,4,True,30.5032232091
590070-99999,2003-9-18,261.253329521,223.529619827,286.692647581,9,True,18.7226723701
590070-99999,2003-9-23,314.43681404,243.535689475,277.108057517,7,True,18.0062212021
590070-99999,2003-9-23,10.0783958159,312.034900491,322.431989688,7,False,43.5244028406
590070-99999,2003-9-28,35.9970141696,24.5643974744,49.3410209535,4,True,31.6000175567
590070-99999,2003-9-28,348.957124992,243.535689475,277.108057517,4,True,16.9129385772
590070-99999,2003-10-3,41.3052590663,24.5643974744,63.3404328285,7,True,39.6986063987
